2020/10/08 19:10:59 [error] 28#28: *7 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: localhost, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.4:3000/", host: "localhost"
2020/10/16 22:16:02 [error] 28#28: *1 connect() failed (113: No route to host) while connecting to upstream, client: 172.20.0.1, server: localhost, request: "GET /api/counties/?name=san%20Mateo&type=Fire HTTP/1.1", upstream: "http://172.20.0.3:3000/counties/?name=san%20Mateo&type=Fire", host: "localhost", referrer: "http://localhost:3000/vphome"
2020/10/16 22:16:02 [error] 28#28: *3 connect() failed (113: No route to host) while connecting to upstream, client: 172.20.0.1, server: localhost, request: "GET /api/counties/?name=san%20Mateo&type=Fire HTTP/1.1", upstream: "http://172.20.0.3:3000/counties/?name=san%20Mateo&type=Fire", host: "localhost", referrer: "http://localhost:3000/vphome"
2020/10/16 22:16:02 [error] 28#28: *5 connect() failed (113: No route to host) while connecting to upstream, client: 172.20.0.1, server: localhost, request: "GET /api/counties/?name=san%20Mateo&type=Fire HTTP/1.1", upstream: "http://172.20.0.3:3000/counties/?name=san%20Mateo&type=Fire", host: "localhost", referrer: "http://localhost:3000/vphome"
2020/10/16 22:16:02 [error] 28#28: *7 connect() failed (113: No route to host) while connecting to upstream, client: 172.20.0.1, server: localhost, request: "GET /api/counties/?name=san%20Mateo&type=Fire HTTP/1.1", upstream: "http://172.20.0.3:3000/counties/?name=san%20Mateo&type=Fire", host: "localhost", referrer: "http://localhost:3000/vphome"
2020/10/16 22:16:02 [error] 28#28: *9 connect() failed (113: No route to host) while connecting to upstream, client: 172.20.0.1, server: localhost, request: "GET /api/counties/?name=san%20Mateo&type=Fire HTTP/1.1", upstream: "http://172.20.0.3:3000/counties/?name=san%20Mateo&type=Fire", host: "localhost", referrer: "http://localhost:3000/vphome"
2020/10/16 22:16:10 [error] 28#28: *1 connect() failed (113: No route to host) while connecting to upstream, client: 172.20.0.1, server: localhost, request: "GET /api/counties/?name=san%20mateo&type=Fire HTTP/1.1", upstream: "http://172.20.0.3:3000/counties/?name=san%20mateo&type=Fire", host: "localhost", referrer: "http://localhost:3000/vphome"
2020/10/16 22:16:25 [error] 28#28: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 172.20.0.1, server: localhost, request: "GET /api/counties/?name=san%20mateo&type=Fire HTTP/1.1", upstream: "http://172.20.0.3:3000/counties/?name=san%20mateo&type=Fire", host: "localhost", referrer: "http://localhost:3000/vphome"
2020/10/16 22:16:26 [error] 28#28: *5 connect() failed (111: Connection refused) while connecting to upstream, client: 172.20.0.1, server: localhost, request: "GET /api/counties/?name=san%20mateo&type=Fire HTTP/1.1", upstream: "http://172.20.0.3:3000/counties/?name=san%20mateo&type=Fire", host: "localhost", referrer: "http://localhost:3000/vphome"
2020/10/16 22:16:27 [error] 28#28: *7 connect() failed (111: Connection refused) while connecting to upstream, client: 172.20.0.1, server: localhost, request: "GET /api/counties/?name=san%20mateo&type=Fire HTTP/1.1", upstream: "http://172.20.0.3:3000/counties/?name=san%20mateo&type=Fire", host: "localhost", referrer: "http://localhost:3000/vphome"
2020/10/16 22:16:27 [error] 28#28: *9 connect() failed (111: Connection refused) while connecting to upstream, client: 172.20.0.1, server: localhost, request: "GET /api/counties/?name=san%20mateo&type=Fire HTTP/1.1", upstream: "http://172.20.0.3:3000/counties/?name=san%20mateo&type=Fire", host: "localhost", referrer: "http://localhost:3000/vphome"
2020/10/16 22:16:36 [error] 28#28: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.20.0.1, server: localhost, request: "GET /api/counties/?name=San%20mateo&type=Fire HTTP/1.1", upstream: "http://172.20.0.3:3000/counties/?name=San%20mateo&type=Fire", host: "localhost", referrer: "http://localhost:3000/vphome"
